Model           ,loss    ,Dataset     ,Epoch ,accuracy            ,precision           ,sensitivity         ,specificity          ,f1_score            ,meaniou              ,fwiou                ,iou                 ,dice                ,hd
design_two      ,hybrid  ,liver       ,40    ,0.9970974392361112  ,0.9786076662632861  ,0.9941589119541876  ,0.9974431617208633   ,0.9863214941938647  ,0.984885645593168    ,0.9942586093560091   ,0.9730131151216231  ,0.98632199417655    ,3.872983346207417
design_two      ,hybrid  ,COVID19     ,40    ,0.9962977028677988  ,0.8075805335220819  ,0.8808373751985965  ,0.9975826635326883   ,0.834857045673534   ,0.8608371224823006   ,0.9931955451100531   ,0.7254636811812505  ,0.8348575398319532  ,4.635139901191096
UNet            ,BCE     ,COVID19     ,40    ,0.9955805797412787  ,0.7385274004642159  ,0.943510910805012   ,0.9961199097190427   ,0.8229305898032403  ,0.8514252273846881   ,0.9922054707615968   ,0.7073819004703664  ,0.8229310783181543  ,4.884527728354836
cenet           ,BCE     ,COVID19     ,40    ,0.9961488026605759  ,0.7694699417058041  ,0.9359077453510181  ,0.9968433674454229   ,0.8383863372541176  ,0.8625447858183727   ,0.9930715004014677   ,0.7290369141914214  ,0.83838682836358    ,4.771155940887046
unet++          ,hybrid  ,COVID19     ,40    ,0.9951757794232834  ,0.7128349867033713  ,0.9426611376240862  ,0.9958311047168056   ,0.801483560414191   ,0.8375008026851137   ,0.9916174354099849   ,0.6799372668358071  ,0.8014840427220737  ,5.0301682012280375
fcn32s          ,hybrid  ,COVID19     ,40    ,0.9931632633116468  ,0.6243495443810331  ,0.9558506746897661  ,0.9935845601765443   ,0.7409016843424934  ,0.7987674157990512   ,0.9887622402892133   ,0.6045291522469949  ,0.7409021495667012  ,5.86444432083443
Attention_UNet  ,hybrid  ,COVID19     ,40    ,0.9948525191512931  ,0.6857662045408319  ,0.9528614282306125  ,0.99533329792149     ,0.7874731463104897  ,0.828246617261708    ,0.9911531604259292   ,0.6617616094150843  ,0.7874736249019154  ,5.223182218905025
design_two      ,hybrid  ,driveEye    ,40    ,0.9344752182195217  ,0.8368609751381644  ,0.5241123327362789  ,0.9865844329373645   ,0.6376605281622879  ,0.7007444856103283   ,0.8788641090266077   ,0.4710560630197539  ,0.637660995888287   ,8.73271334336602
design_two      ,hybrid  ,isbicell    ,40    ,0.789764404296875   ,0.7897644042938623  ,1.0                 ,0.0                  ,0.8823610320244475  ,0.39488220214693115  ,0.6242218560122031   ,0.789764404296875   ,0.882361525009658   ,5.817779362421807
design_two      ,hybrid  ,COVID19     ,40    ,0.9963858647601594  ,0.875426875793659   ,0.7748678190098803  ,0.9989781569671646   ,0.8112447330527953  ,0.8504785485156181   ,0.993042060270583    ,0.7046484223083396  ,0.8112452121650627  ,4.425656800309649

UNet            ,BCE     ,dsb2018Cell ,40    ,0.8900455076303055  ,0.6551608557642293  ,0.9486719451051399  ,0.8737283047209248   ,0.745768799294859   ,0.7467163950392285   ,0.8444328208936817   ,0.6291485590211662  ,0.7457692494621442  ,6.248065915875193
unet++          ,BCE     ,dsb2018Cell ,40    ,0.8377952006325793  ,0.6319358499389227  ,0.9789107777985057  ,0.8044124930003024   ,0.739647474376979   ,0.7133185921378102   ,0.7867278285692724   ,0.6249369364678967  ,0.7396479188673234  ,6.762806639693657
Attention_UNet  ,BCE     ,dsb2018Cell ,40    ,0.9151381307573461  ,0.6821821381742759  ,0.9568766972296961  ,0.9001645957758764   ,0.7726119535345378  ,0.7748628275768158   ,0.8716244225774464   ,0.6577260838550782  ,0.7726124175926186  ,6.892902548214134
fcn32s          ,BCE     ,dsb2018Cell ,40    ,0.9384355687383396  ,0.701265553691423   ,0.9381037441252529  ,0.9346309796009984   ,0.794297386008555   ,0.7953175796469388   ,0.8968529017554963   ,0.6686252756984382  ,0.7942978694663615  ,6.454850287417291
cenet           ,BCE     ,dsb2018Cell ,40    ,0.9535185401119403  ,0.7610178800452336  ,0.9660478778195014  ,0.9450961451753479   ,0.8462274792543933  ,0.8408487610570743   ,0.9198104827259231   ,0.7418827452617587  ,0.8462279686509226  ,5.209800364907603
cenet           ,liver   ,liver       ,40    ,0.9969497492283951  ,0.977607526097017   ,0.9937866857551897  ,0.9973218887590071   ,0.9856302150764477  ,0.9841309527826609   ,0.99396961430119     ,0.9716685330347145  ,0.9856307150565116  ,3.7416573867739413

design_three    ,hybrid  ,COVID19     ,40    ,0.9965558407059596  ,0.8549088508609174  ,0.8570259255369911  ,0.9981272227631898   ,0.8489555561598446  ,0.8710980975609832   ,0.993547455036291    ,0.7457211027428385  ,0.8489560517946148  ,4.431366056027784
design_two      ,hybrid  ,COVID19     ,40    ,0.9964477904405745  ,0.8270353735506661  ,0.8697889432981613  ,0.9979405911789099   ,0.8407997786842581  ,0.8645230843364942   ,0.9933958636040948   ,0.7326785428781758  ,0.8408002740327398  ,4.557806257237237
design_two      ,hybrid2 ,COVID19     ,40    ,0.9961049158029958  ,0.8135546911927004  ,0.8827050386697193  ,0.9976325958952481   ,0.8375846859090473  ,0.8621369315407688   ,0.9928263018122475   ,0.7282606210704807  ,0.8375851792492849  ,4.724144851365552
design_two      ,BCE     ,COVID19     ,40    ,0.9934539852006757  ,0.6346451916227198  ,0.9550783817667036  ,0.9939309382670255   ,0.7497468726590424  ,0.8035143980844522   ,0.9891595414108652   ,0.6137205662454198  ,0.7497473413985462  ,5.841723427171861
design_three    ,BCE     ,COVID19     ,40    ,0.9957313980005493  ,0.7723307585810084  ,0.8772733011196704  ,0.9973749324683937   ,0.8076063883902727  ,0.8415592374429988   ,0.9922300261843394   ,0.6874764475405734  ,0.8076068768601615  ,5.011262637696268
resnet34_unet   ,BCE     ,dsb2018Cell ,40    ,0.9443646331331623  ,0.7440739861457014  ,0.9685701475982429  ,0.9342187909844704   ,0.831424163901022   ,0.8279233804382511   ,0.9075518436887768   ,0.7274677445505836  ,0.8314246455984652  ,5.586178147608085
only_attention  ,BCE     ,dsb2018Cell ,40    ,0.9570777095965485  ,0.7743535042939466  ,0.9669235907697414  ,0.9502757214290427   ,0.8545737023476654  ,0.8488207817067799   ,0.92522979896302     ,0.7534702594467705  ,0.8545741925308625  ,4.960112161993171
only_bottleneck ,BCE     ,dsb2018Cell ,40    ,0.9544191502813083  ,0.7606224101796596  ,0.971469681536627   ,0.9459697436962852   ,0.8448653835670403  ,0.8412635180857854   ,0.9215113377046463   ,0.7414406872536026  ,0.844865869928674   ,5.0647640743534845
design_three    ,BCE     ,dsb2018Cell ,40    ,0.9511500116604478  ,0.7531722898862343  ,0.9771918970849757  ,0.9413713138732008   ,0.8429316993021705  ,0.8378358202698024   ,0.9173383068314048   ,0.7387670075395266  ,0.8429321850332852  ,5.4052038882229745
design_three    ,BCE     ,dsb2018Cell ,40    ,0.9549405681553171  ,0.7708268516577328  ,0.974495667848188   ,0.946976607246034    ,0.8528781088392131  ,0.847806296277607    ,0.9231347254132334   ,0.7538935071771872  ,0.8528785960394647  ,5.0218784773069265
only_attention  ,BCE     ,COVID19     ,40    ,0.993531917482113   ,0.6333169593762608  ,0.9496640727909632  ,0.9939199336854454   ,0.7469610719364117  ,0.8017133529845344   ,0.9891998613699232   ,0.6100459819428048  ,0.7469615401812764  ,5.451189917803276
design_three    ,BCE     ,COVID19     ,40    ,0.9960834290532641  ,0.7823443512133175  ,0.9048015557869211  ,0.9972975026174106   ,0.830724985604349   ,0.8568632244935098   ,0.9928574140464248   ,0.7177332342582051  ,0.8307254776320837  ,4.764126290238907
only_attention  ,BCE     ,isbicell    ,40    ,0.789764404296875   ,0.7897644042938623  ,1.0                 ,0.0                  ,0.8823610320244475  ,0.39488220214693115  ,0.6242218560122031   ,0.789764404296875   ,0.882361525009658   ,5.817779362421807
design_three    ,hybrid  ,isbicell    ,40    ,0.789764404296875   ,0.7897644042938623  ,1.0                 ,0.0                  ,0.8823610320244475  ,0.39488220214693115  ,0.6242218560122031   ,0.789764404296875   ,0.882361525009658   ,5.817779362421807
design_three    ,hybrid  ,dsb2018Cell ,40    ,0.7789513886864505  ,0.7102297117006476  ,0.6707493620174886  ,0.8075736708309015   ,0.5762361486224225  ,0.6025733531003383   ,0.7026529276744958   ,0.4603408266812149  ,0.5762365315742578  ,6.58307481545494
design_three    ,hybrid  ,dsb2018Cell ,40    ,0.9614504913785564  ,0.8034212208110643  ,0.9438454763029276  ,0.9584030284495272   ,0.85685323009254    ,0.8598772559210838   ,0.9333706292993352   ,0.769153437195424   ,0.8568537116640125  ,4.666667876425447

UNet            ,BCE     ,driveEye    ,40    ,0.9179075641396606  ,0.5978547798352174  ,0.8846624647617751  ,0.9225552333961426   ,0.7090388641727914  ,0.7299645756122738   ,0.8688488286133158   ,0.5510474194913534  ,0.7090393420979317  ,10.905789797662448
cenet           ,BCE     ,driveEye    ,40    ,0.947581199363426   ,0.737081754888186   ,0.8361103231706764  ,0.9619885067421095   ,0.7810847970918674  ,0.791550610337915    ,0.9084027352764334   ,0.640958891862344   ,0.7810852936109389  ,9.054131473654781
design_three    ,BCE     ,driveEye    ,40    ,0.9551069094810958  ,0.7823270619004059  ,0.8391879036623683  ,0.9701227552814172   ,0.8068132637233159  ,0.8134467294200798   ,0.9196881943045383   ,0.6764583073936468  ,0.8068137613052186  ,8.55777806142585
cenet           ,BCE     ,driveEye    ,40    ,0.9492888274016205  ,0.7512202694978816  ,0.8261294826990451  ,0.9651811027678981   ,0.7846353311357136  ,0.7949268048779002   ,0.9106399161865735   ,0.6457562166258868  ,0.7846358286079981  ,8.9472207353881
unet++          ,BCE     ,driveEye    ,40    ,0.9549619321469909  ,0.8184690155813114  ,0.7766104119110386  ,0.9778097238076524   ,0.7932820450619276  ,0.8044145830347041   ,0.9178566736348236   ,0.6581569831396197  ,0.793282542352513   ,8.486292096746672
Attention_UNet  ,BCE     ,driveEye    ,40    ,0.9515314549575619  ,0.7769083862436768  ,0.8077545819449693  ,0.9699017154340022   ,0.7883434775247434  ,0.7989361474384027   ,0.9135308430097787   ,0.6511959757281444  ,0.7883439750076011  ,8.842923789007822

design_three    ,hybrid  ,driveEye    ,40    ,0.9523909203800155  ,0.7895954647221797  ,0.7929433458813631  ,0.9729163468396802   ,0.7880666367084569  ,0.7991043480482254   ,0.9143747108389249   ,0.6504722676250574  ,0.7880671346970638  ,8.698393265495467
resnet34_unet   ,BCE     ,driveEye    ,40    ,0.9448398919753087  ,0.7449916633636704  ,0.7850983567804201  ,0.9653716730931065   ,0.7609872439524934  ,0.7769719747742811   ,0.9030588306591127   ,0.6144491909747694  ,0.7609877413120824  ,9.067771383403477
